amfi_code,cagr,sharpe_ratio,alpha,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,drawdown_rank,fund_score
148567,0.30949920362874206,1.4482911703262595,0.2698375144191807,-0.11265729075028275,0.9,1.0,0.85,0.825,89.625
120843,0.30883325525154603,1.3067439695428407,0.27330465038306057,-0.1297396816518679,0.875,0.975,0.9,0.7,86.125
148569,0.31924485848158723,1.2349300257743296,0.2827036785246582,-0.1639674294693263,0.925,0.95,0.925,0.5,82.5
120505,0.3280159948038617,1.1801011976606495,0.2926358334175106,-0.18188513572116294,1.0,0.9,0.95,0.4,81.5
100033,0.30099703552874524,1.0936987435346308,0.2719535450128533,-0.16217208574644848,0.85,0.85,0.875,0.525,77.375
119551,0.2578492084946409,1.2082665673727175,0.23201007160635082,-0.1501238549864533,0.775,0.925,0.775,0.6,76.875
101206,0.23520488754230384,1.0272133278753697,0.21399784776051212,-0.11291596329323073,0.725,0.8,0.725,0.8,76.25
149323,0.29558105232568344,1.1321218524747245,0.26598577542043045,-0.17248105753451382,0.825,0.875,0.825,0.475,75.0
120504,0.2327744753273051,1.0265242847993004,0.2119482701352573,-0.12588275606922517,0.7,0.775,0.7,0.725,72.5
119552,0.21508021785499332,0.9532794968660103,0.1986859936686296,-0.11803493502764295,0.65,0.725,0.65,0.75,69.375
118632,0.2403119561352478,1.0816591793457044,0.21829397904608644,-0.17414075086657232,0.75,0.825,0.75,0.45,69.375
119598,0.3239808398464554,0.9453082575156093,0.3033696538698332,-0.2870600572176455,0.975,0.675,1.0,0.125,69.25
149324,0.3226210752841656,0.9497958246616031,0.3005787817097677,-0.31171900300634214,0.95,0.7,0.975,0.1,68.0
119094,0.28192608222062465,0.9982309868636414,0.2607666908004223,-0.20960883862039192,0.8,0.75,0.8,0.325,66.875
102885,0.18218826089343754,0.8170993373494368,0.17048756803412696,-0.1085986215250232,0.575,0.625,0.55,0.85,65.125
148568,0.22499840384352243,0.9262873467360146,0.20873010086942337,-0.1527259422823477,0.675,0.65,0.675,0.55,63.75
120503,0.18771330105513617,0.7979728586052847,0.17703302365844073,-0.13897862823061635,0.6,0.6,0.6,0.675,61.875
125497,0.19003613208378556,0.7757902498211207,0.17729754927531766,-0.15200013055606398,0.625,0.575,0.625,0.575,60.0
118635,0.15945481185082522,0.6648569985490619,0.1513635464823924,-0.1165062450540909,0.45,0.55,0.45,0.775,55.625
120507,0.0723241093234459,0.4957233929533124,0.06746210411099539,-0.0009773140045925555,0.3,0.45,0.25,1.0,50.25
120506,0.17072227512921923,0.6488787755249532,0.1625385327998104,-0.1982565826298267,0.55,0.525,0.525,0.35,48.875
149322,0.13383520958789363,0.4640374492204777,0.13173190226099432,-0.14844576917771746,0.4,0.4,0.425,0.625,46.125
118633,0.16262218000296524,0.6452074382933215,0.15643835948169668,-0.18629743138595511,0.475,0.5,0.475,0.375,45.625
102887,0.16828673461948984,0.6195175900829828,0.16211256794033255,-0.21539827112383225,0.525,0.475,0.5,0.275,44.5
120841,0.13522349085511554,0.49427253786723496,0.13042924450705445,-0.1757361416468729,0.425,0.425,0.4,0.425,42.0
118634,0.16361396476593382,0.4484340089089914,0.1750072167561127,-0.2334488614483311,0.5,0.375,0.575,0.225,41.5
120844,0.0691037983940288,-0.08874729621557331,0.06455677495375998,-0.0011629327956168556,0.275,0.175,0.225,0.975,41.5
101208,0.06504429821332125,-0.8155673679088278,0.060861457957871144,-0.0016224980244717857,0.225,0.025,0.2,0.95,35.125
125498,0.11293660210400969,0.3006119210425478,0.11989100971217971,-0.21117279560132118,0.375,0.35,0.375,0.3,35.0
119092,0.0636349475771898,0.030784850954585913,0.0689952982167755,-0.1440161790933726,0.2,0.25,0.275,0.65,34.0
119120,0.05885271270380055,-0.22657538662791596,0.05620895216638369,-0.04328728923970093,0.175,0.1,0.175,0.9,33.75
118636,0.053131554027608274,-0.356629507514368,0.05074772999976104,-0.08316361763638702,0.15,0.075,0.15,0.875,31.25
119093,0.07891944369437343,0.12961449795669325,0.08232801295222093,-0.21751396370148224,0.325,0.3,0.325,0.25,30.0
100025,0.04455091155784441,-0.5670947928476847,0.042817920315060876,-0.04308263824636349,0.125,0.05,0.075,0.925,29.625
101207,0.07933120999915699,0.1626607692864677,0.10897091901704538,-0.3544691649336603,0.35,0.325,0.35,0.075,27.5
120842,0.06696806255006482,0.07599984804658917,0.0780443887615508,-0.24003511326274884,0.25,0.275,0.3,0.2,25.375
100016,0.026352458116335464,-0.2015170675596694,0.03747580763443281,-0.24734440880673303,0.1,0.15,0.05,0.175,12.125
119599,0.02053064146209893,-0.05718662582817997,0.048824215945539845,-0.5257422117012851,0.075,0.225,0.125,0.025,11.0
119095,0.015204552427132478,-0.07597357117478923,0.048015953637759554,-0.5167775370852656,0.05,0.2,0.1,0.05,9.75
102886,0.0117093879842316,-0.20583160785470314,0.02896939786637944,-0.2800112356639287,0.025,0.125,0.025,0.15,8.125
